text,label
Talk to you soon!,Others
Let me know when you're free for a quick chat.,Others
Just realized I made a typo in my last email.,Others
Enjoy your vacation!,Others
Thanks for looping me in.,Others
Appreciate your attention on this.,Others
Happy Friday!,Others
Hope your week is going well.,Others
Just wanted to say thank you.,Others
Sending positive vibes your way.,Others
Have a relaxing day ahead.,Others
Thanks for being awesome!,Others
Feel free to reach out anytime.,Others
Hope this brightens your day.,Others
Have a safe trip!,Others
I'm here if you need anything.,Others
Nice speaking with you earlier.,Others
Let’s grab a coffee sometime.,Others
Thanks for taking the time to meet.,Others
Sending over a quick hello!,Others
Looking forward to our continued collaboration.,Others
Have a productive week ahead.,Others
It was great seeing you at the event.,Others
Stay safe and take care!,Others
Cheers!,Others
Just touching base.,Others
Hope you're having a great day!,Others
Just checking in to say hello.,Others
This is a test email. Please ignore.,Others
Here's a fun fact I thought you'd enjoy.,Others
Let’s catch up sometime soon!,Others
"I found this meme hilarious, sharing it with you.",Others
Can you believe it's already April?,Others
How was your weekend?,Others
Sending birthday wishes your way!,Others
"Just saying hi, no action needed.",Others
Hope everything's going well on your side.,Others
Long time no see—let's reconnect soon.,Others
This is just a friendly reminder to smile today!,Others
Remember that trip we talked about? Let’s plan it soon.,Others
I saw this quote and thought of you.,Others
Hope the weather is better on your side.,Others
Just sharing a random thought from today.,Others
Let me know if you’re free to chat sometime.,Others
Take care and stay safe!,Others
This email doesn’t require a reply.,Others
Hope your work is going smoothly.,Others
Just felt like dropping a quick note.,Others
"Thinking of you, no need to respond.",Others
Sending you good vibes for the week ahead.,Others
You're doing great—keep it up!,Others
"This made me smile, hope it does for you too.",Others
Let’s hang out soon!,Others
Just passing along good wishes.,Others
"Nothing urgent, just checking in.",Others
I hope this message finds you well.,Others
Wishing you a productive week ahead.,Others
Sending you a virtual high-five!,Others
I hope you're taking time to relax.,Others
This is unrelated to work—just for fun!,Others
Hope you’re enjoying your day so far.,Others
This is just me being random.,Others
Don’t forget to take breaks!,Others
Take a moment to breathe today.,Others
"Sometimes, no reason is the best reason to say hi!",Others
Hope you're drinking enough water today.,Others
Let’s take a break and chat soon.,Others
Stay awesome!,Others
Remember to stay positive.,Others
You're appreciated more than you know.,Others
I’m grateful for our friendship.,Others
Here’s something to brighten your day.,Others
Let’s catch up over coffee soon.,Others
I admire your work ethic.,Others
Take it easy and enjoy your day.,Others
Have a peaceful evening.,Others
